77.87     80.14     73.45     70.25     70.69     70.29     68.62     70.76     70.13     72.34
71.02     68.11     69.83     74.46     76.77     74.47     73.39     70.68     70.20     69.79
67.50     69.68     68.62     68.94     69.43     68.97     69.35     67.92     66.02     71.73 
78.59     80.53     81.79     78.47     71.22     73.11     72.01     71.60     67.71     65.06
65.51     61.34     67.44     74.73     76.81     78.57     81.26     80.74     80.74     75.91 
74.57     72.20     71.89     76.99     74.91     73.15     71.80     72.72     71.12     72.14 
75.14     74.53     74.79    74.98      76.83     80.05     85.63     86.12     85.93     83.16
79.59     72.24     71.62     73.24     73.24     71.19     68.52     68.99     72.01     71.26 
72.24     73.16     72.86     71.44     70.00     71.65     73.07     76.83     77.07     73.63 
72.44     74.38     81.18     80.62     91.90    102.80    101.59     93.99     98.08    106.65 
96.54     96.91     84.28     80.84     78.42     77.36     81.37     84.90     83.40     85.53
84.32     84.30     81.39     80.34     80.39     79.40     77.90     78.02     77.99     77.53
79.60     78.88     78.49     81.08     79.30     70.07     78.31     78.16     77.12     77.12 
87.31     77.94     78.29     79.04     83.64     82.08     82.43     81.68     81.05     80.27 
79.93     78.76     77.84     77.45     78.97     77.49     79.72     84.13     83.20     78.04 
78.75     84.63     84.24     86.10     80.89     77.83     77.81     77.15     78.22     77.23
78.52     79.13     78.64     80.38     81.30     82.64     81.14     80.13     80.37     80.03 
79.10     78.52     78.01     77.63     77.72     78.47     77.42     77.70     79.95     82.12 
77.91     75.82     76.22     77.05     76.13     77.41     76.69     77.03     77.07     76.79 
80.24     81.89     82.10     77.28     78.40     84.17     81.58     78.97     76.99     81.18 
81.28     81.48     80.93     84.79     86.90     86.15     79.66     77.50     76.99     77.04 
77.75     77.82     78.45     81.38     83.69     85.58     84.58     85.06     83.94     80.49 
80.05     82.06     82.85     85.09     85.74     85.79     90.21     88.03     87.36     84.99 
82.97     82.51     82.35     80.33     80.13     79.74     78.40     77.02     78.08     78.92
80.33     82.36     84.90     91.87     90.81     94.47     95.34    107.48    153.77    163.42 
92.95    142.19     97.92
